ticker,company,cik,year,accession,status,path
TJX,TJX Companies,0000109198,2020,0000109198-20-000004,success,../data/item1a/0000109198_2020.txt
TJX,TJX Companies,0000109198,2019,0001628280-19-003834,success,../data/item1a/0000109198_2019.txt
TJX,TJX Companies,0000109198,2018,0001193125-18-107423,item1a_not_found,
TJX,TJX Companies,0000109198,2017,0001193125-17-099642,item1a_not_found,
TJX,TJX Companies,0000109198,2016,0001193125-16-521424,item1a_not_found,
TJX,TJX Companies,0000109198,2015,0001193125-15-114276,item1a_not_found,
TJX,TJX Companies,0000109198,2014,0001193125-14-125980,item1a_not_found,
TJX,TJX Companies,0000109198,2013,0001193125-13-138497,item1a_not_found,
MNST,Monster Beverage,0000865752,2026,0001104659-26-020831,success,../data/item1a/0000865752_2026.txt
MNST,Monster Beverage,0000865752,2025,0001410578-25-000248,success,../data/item1a/0000865752_2025.txt
MNST,Monster Beverage,0000865752,2024,0001104659-24-029425,success,../data/item1a/0000865752_2024.txt
MNST,Monster Beverage,0000865752,2023,0001104659-23-027245,success,../data/item1a/0000865752_2023.txt
MNST,Monster Beverage,0000865752,2022,0001104659-22-028182,success,../data/item1a/0000865752_2022.txt
MNST,Monster Beverage,0000865752,2021,0001104659-21-029943,success,../data/item1a/0000865752_2021.txt
MNST,Monster Beverage,0000865752,2020,0001104659-20-027209,success,../data/item1a/0000865752_2020.txt
MNST,Monster Beverage,0000865752,2019,0001104659-19-011581,success,../data/item1a/0000865752_2019.txt
MNST,Monster Beverage,0000865752,2018,0001104659-18-014057,success,../data/item1a/0000865752_2018.txt
MNST,Monster Beverage,0000865752,2017,0001104659-17-013048,success,../data/item1a/0000865752_2017.txt
MNST,Monster Beverage,0000865752,2016,0001104659-16-100960,success,../data/item1a/0000865752_2016.txt
MNST,Monster Beverage,0000865752,2015,0001104659-15-015731,success,../data/item1a/0000865752_2015.txt
MNST,Monster Beverage,0000865752,2014,0001104659-14-015320,success,../data/item1a/0000865752_2014.txt
MNST,Monster Beverage,0000865752,2013,0001104659-13-016713,success,../data/item1a/0000865752_2013.txt
CASY,Casey's,0000726958,2025,0000726958-25-000065,item1a_not_found,
CASY,Casey's,0000726958,2024,0000726958-24-000046,item1a_not_found,
CASY,Casey's,0000726958,2023,0000726958-23-000059,item1a_not_found,
CASY,Casey's,0000726958,2022,0000726958-22-000065,item1a_not_found,
CASY,Casey's,0000726958,2021,0000726958-21-000078,item1a_not_found,
CASY,Casey's,0000726958,2020,0000726958-20-000085,item1a_not_found,
CASY,Casey's,0000726958,2019,0000726958-19-000078,item1a_not_found,
CASY,Casey's,0000726958,2018,0000726958-18-000097,item1a_not_found,
CASY,Casey's,0000726958,2017,0000726958-17-000055,item1a_not_found,
CASY,Casey's,0000726958,2016,0000726958-16-000258,item1a_not_found,
CASY,Casey's,0000726958,2015,0000726958-15-000075,item1a_not_found,
CASY,Casey's,0000726958,2014,0001193125-14-253245,item1a_not_found,
CASY,Casey's,0000726958,2013,0001193125-13-274177,item1a_not_found,
CASY,Casey's,0000726958,2012,0001193125-12-283506,item1a_not_found,
CASY,Casey's,0000726958,2011,0001193125-11-175866,item1a_not_found,
VLO,Valero Energy,0001035002,2026,0001628280-26-011499,success,../data/item1a/0001035002_2026.txt
VLO,Valero Energy,0001035002,2025,0001035002-25-000005,success,../data/item1a/0001035002_2025.txt
VLO,Valero Energy,0001035002,2024,0001035002-24-000007,success,../data/item1a/0001035002_2024.txt
VLO,Valero Energy,0001035002,2023,0001035002-23-000027,success,../data/item1a/0001035002_2023.txt
VLO,Valero Energy,0001035002,2022,0001035002-22-000007,success,../data/item1a/0001035002_2022.txt
VLO,Valero Energy,0001035002,2021,0001035002-21-000051,success,../data/item1a/0001035002_2021.txt
VLO,Valero Energy,0001035002,2020,0001035002-20-000007,success,../data/item1a/0001035002_2020.txt
VLO,Valero Energy,0001035002,2019,0001035002-19-000008,success,../data/item1a/0001035002_2019.txt
VLO,Valero Energy,0001035002,2018,0001035002-18-000010,success,../data/item1a/0001035002_2018.txt
VLO,Valero Energy,0001035002,2017,0001035002-17-000009,success,../data/item1a/0001035002_2017.txt
VLO,Valero Energy,0001035002,2016,0001035002-16-000069,success,../data/item1a/0001035002_2016.txt
VLO,Valero Energy,0001035002,2015,0001035002-15-000009,success,../data/item1a/0001035002_2015.txt
VLO,Valero Energy,0001035002,2014,0001035002-14-000008,item1a_not_found,
VLO,Valero Energy,0001035002,2013,0001035002-13-000008,item1a_not_found,
EG,Everest Group,0001095073,2026,0001095073-26-000006,success,../data/item1a/0001095073_2026.txt
EG,Everest Group,0001095073,2025,0001095073-25-000015,success,../data/item1a/0001095073_2025.txt
EG,Everest Group,0001095073,2024,0001095073-24-000009,success,../data/item1a/0001095073_2024.txt
EG,Everest Group,0001095073,2023,0001095073-23-000007,success,../data/item1a/0001095073_2023.txt
EG,Everest Group,0001095073,2022,0001095073-22-000005,success,../data/item1a/0001095073_2022.txt
EG,Everest Group,0001095073,2021,0001095073-21-000006,success,../data/item1a/0001095073_2021.txt
EG,Everest Group,0001095073,2020,0001095073-20-000006,success,../data/item1a/0001095073_2020.txt
EG,Everest Group,0001095073,2019,0001095073-19-000011,success,../data/item1a/0001095073_2019.txt
EG,Everest Group,0001095073,2018,0001095073-18-000008,success,../data/item1a/0001095073_2018.txt
EG,Everest Group,0001095073,2017,0001095073-17-000011,success,../data/item1a/0001095073_2017.txt
EG,Everest Group,0001095073,2016,0001095073-16-000071,success,../data/item1a/0001095073_2016.txt
EG,Everest Group,0001095073,2015,0001095073-15-000007,success,../data/item1a/0001095073_2015.txt
EG,Everest Group,0001095073,2014,0001095073-14-000008,success,../data/item1a/0001095073_2014.txt
EG,Everest Group,0001095073,2013,0001095073-13-000015,success,../data/item1a/0001095073_2013.txt
EG,Everest Group,0001095073,2012,0001095073-12-000013,success,../data/item1a/0001095073_2012.txt
WRB,W. R. Berkley Corporation,0000011544,2026,0000011544-26-000005,success,../data/item1a/0000011544_2026.txt
WRB,W. R. Berkley Corporation,0000011544,2025,0000011544-25-000005,success,../data/item1a/0000011544_2025.txt
WRB,W. R. Berkley Corporation,0000011544,2024,0000011544-24-000005,success,../data/item1a/0000011544_2024.txt
WRB,W. R. Berkley Corporation,0000011544,2023,0000011544-23-000004,success,../data/item1a/0000011544_2023.txt
WRB,W. R. Berkley Corporation,0000011544,2022,0000011544-22-000007,success,../data/item1a/0000011544_2022.txt
WRB,W. R. Berkley Corporation,0000011544,2021,0000011544-21-000013,success,../data/item1a/0000011544_2021.txt
WRB,W. R. Berkley Corporation,0000011544,2020,0000011544-20-000016,success,../data/item1a/0000011544_2020.txt
WRB,W. R. Berkley Corporation,0000011544,2019,0000011544-19-000016,success,../data/item1a/0000011544_2019.txt
WRB,W. R. Berkley Corporation,0000011544,2018,0000011544-18-000012,success,../data/item1a/0000011544_2018.txt
WRB,W. R. Berkley Corporation,0000011544,2017,0000011544-17-000009,success,../data/item1a/0000011544_2017.txt
WRB,W. R. Berkley Corporation,0000011544,2016,0000011544-16-000086,success,../data/item1a/0000011544_2016.txt
WRB,W. R. Berkley Corporation,0000011544,2015,0000011544-15-000010,success,../data/item1a/0000011544_2015.txt
WRB,W. R. Berkley Corporation,0000011544,2014,0000011544-14-000012,success,../data/item1a/0000011544_2014.txt
WRB,W. R. Berkley Corporation,0000011544,2013,0000011544-13-000018,success,../data/item1a/0000011544_2013.txt
BRO,Brown & Brown,0000079282,2026,0001193125-26-046984,success,../data/item1a/0000079282_2026.txt
BRO,Brown & Brown,0000079282,2025,0000950170-25-019039,success,../data/item1a/0000079282_2025.txt
BRO,Brown & Brown,0000079282,2024,0000950170-24-018890,success,../data/item1a/0000079282_2024.txt
BRO,Brown & Brown,0000079282,2023,0000950170-23-004717,success,../data/item1a/0000079282_2023.txt
BRO,Brown & Brown,0000079282,2022,0000950170-22-001654,success,../data/item1a/0000079282_2022.txt
BRO,Brown & Brown,0000079282,2021,0001564590-21-007624,success,../data/item1a/0000079282_2021.txt
BRO,Brown & Brown,0000079282,2020,0001564590-20-006075,success,../data/item1a/0000079282_2020.txt
BRO,Brown & Brown,0000079282,2019,0000079282-19-000006,success,../data/item1a/0000079282_2019.txt
BRO,Brown & Brown,0000079282,2018,0000079282-18-000006,success,../data/item1a/0000079282_2018.txt
BRO,Brown & Brown,0000079282,2017,0000079282-17-000006,success,../data/item1a/0000079282_2017.txt
BRO,Brown & Brown,0000079282,2016,0000079282-16-000034,success,../data/item1a/0000079282_2016.txt
BRO,Brown & Brown,0000079282,2015,0001193125-15-070864,item1a_not_found,
BRO,Brown & Brown,0000079282,2014,0001193125-14-077842,item1a_not_found,
BRO,Brown & Brown,0000079282,2013,0001193125-13-087664,item1a_not_found,
BRO,Brown & Brown,0000079282,2012,0001193125-12-089393,item1a_not_found,
BRO,Brown & Brown,0000079282,2011,0001193125-11-051929,item1a_not_found,
JKHY,Jack Henry & Associates,0000779152,2025,0000779152-25-000055,success,../data/item1a/0000779152_2025.txt
JKHY,Jack Henry & Associates,0000779152,2024,0000779152-24-000079,success,../data/item1a/0000779152_2024.txt
JKHY,Jack Henry & Associates,0000779152,2023,0000779152-23-000062,success,../data/item1a/0000779152_2023.txt
JKHY,Jack Henry & Associates,0000779152,2022,0000779152-22-000076,success,../data/item1a/0000779152_2022.txt
JKHY,Jack Henry & Associates,0000779152,2021,0000779152-21-000073,success,../data/item1a/0000779152_2021.txt
JKHY,Jack Henry & Associates,0000779152,2020,0000779152-20-000064,success,../data/item1a/0000779152_2020.txt
JKHY,Jack Henry & Associates,0000779152,2019,0000779152-19-000048,success,../data/item1a/0000779152_2019.txt
JKHY,Jack Henry & Associates,0000779152,2018,0000779152-18-000060,success,../data/item1a/0000779152_2018.txt
JKHY,Jack Henry & Associates,0000779152,2017,0000779152-17-000040,success,../data/item1a/0000779152_2017.txt
JKHY,Jack Henry & Associates,0000779152,2016,0000779152-16-000142,success,../data/item1a/0000779152_2016.txt
JKHY,Jack Henry & Associates,0000779152,2015,0000779152-15-000056,success,../data/item1a/0000779152_2015.txt
JKHY,Jack Henry & Associates,0000779152,2014,0000779152-14-000036,success,../data/item1a/0000779152_2014.txt
JKHY,Jack Henry & Associates,0000779152,2013,0000779152-13-000028,success,../data/item1a/0000779152_2013.txt
JKHY,Jack Henry & Associates,0000779152,2012,0000779152-12-000051,success,../data/item1a/0000779152_2012.txt
JKHY,Jack Henry & Associates,0000779152,2011,0000926236-11-000072,success,../data/item1a/0000779152_2011.txt
JKHY,Jack Henry & Associates,0000779152,2010,0000926236-10-000031,success,../data/item1a/0000779152_2010.txt
COO,Cooper Companies (The),0000711404,2025,0001628280-25-055615,success,../data/item1a/0000711404_2025.txt
COO,Cooper Companies (The),0000711404,2024,0000711404-24-000074,success,../data/item1a/0000711404_2024.txt
COO,Cooper Companies (The),0000711404,2023,0000711404-23-000072,success,../data/item1a/0000711404_2023.txt
COO,Cooper Companies (The),0000711404,2022,0000711404-22-000053,success,../data/item1a/0000711404_2022.txt
COO,Cooper Companies (The),0000711404,2021,0000711404-21-000038,success,../data/item1a/0000711404_2021.txt
COO,Cooper Companies (The),0000711404,2020,0000711404-20-000042,success,../data/item1a/0000711404_2020.txt
COO,Cooper Companies (The),0000711404,2019,0000711404-19-000051,success,../data/item1a/0000711404_2019.txt
COO,Cooper Companies (The),0000711404,2018,0000711404-18-000047,success,../data/item1a/0000711404_2018.txt
COO,Cooper Companies (The),0000711404,2017,0000711404-17-000044,success,../data/item1a/0000711404_2017.txt
COO,Cooper Companies (The),0000711404,2016,0000711404-16-000042,success,../data/item1a/0000711404_2016.txt
COO,Cooper Companies (The),0000711404,2015,0000711404-15-000021,success,../data/item1a/0000711404_2015.txt
COO,Cooper Companies (The),0000711404,2014,0000711404-14-000017,success,../data/item1a/0000711404_2014.txt
COO,Cooper Companies (The),0000711404,2013,0000711404-13-000012,success,../data/item1a/0000711404_2013.txt
UHS,Universal Health Services,0000352915,2026,0001193125-26-071676,success,../data/item1a/0000352915_2026.txt
UHS,Universal Health Services,0000352915,2025,0000950170-25-027785,success,../data/item1a/0000352915_2025.txt
UHS,Universal Health Services,0000352915,2024,0000950170-24-021175,success,../data/item1a/0000352915_2024.txt
UHS,Universal Health Services,0000352915,2023,0000950170-23-004656,success,../data/item1a/0000352915_2023.txt
UHS,Universal Health Services,0000352915,2022,0001564590-22-006717,success,../data/item1a/0000352915_2022.txt
UHS,Universal Health Services,0000352915,2021,0001564590-21-008851,success,../data/item1a/0000352915_2021.txt
UHS,Universal Health Services,0000352915,2020,0001564590-20-006793,success,../data/item1a/0000352915_2020.txt
UHS,Universal Health Services,0000352915,2019,0001564590-19-004919,success,../data/item1a/0000352915_2019.txt
UHS,Universal Health Services,0000352915,2018,0001564590-18-003808,success,../data/item1a/0000352915_2018.txt
UHS,Universal Health Services,0000352915,2017,0001564590-17-002860,success,../data/item1a/0000352915_2017.txt
UHS,Universal Health Services,0000352915,2016,0001564590-16-013375,success,../data/item1a/0000352915_2016.txt
UHS,Universal Health Services,0000352915,2015,0001193125-15-065954,success,../data/item1a/0000352915_2015.txt
UHS,Universal Health Services,0000352915,2014,0001193125-14-073337,success,../data/item1a/0000352915_2014.txt
UHS,Universal Health Services,0000352915,2013,0001193125-13-084679,item1a_not_found,
UHS,Universal Health Services,0000352915,2012,0001193125-12-081900,item1a_not_found,
UHS,Universal Health Services,0000352915,2011,0001193125-11-050142,success,../data/item1a/0000352915_2011.txt
TECH,Bio-Techne,0000842023,2025,0001558370-25-011716,success,../data/item1a/0000842023_2025.txt
TECH,Bio-Techne,0000842023,2024,0001558370-24-012430,success,../data/item1a/0000842023_2024.txt
TECH,Bio-Techne,0000842023,2023,0001558370-23-015226,success,../data/item1a/0000842023_2023.txt
TECH,Bio-Techne,0000842023,2022,0001558370-22-013935,success,../data/item1a/0000842023_2022.txt
TECH,Bio-Techne,0000842023,2021,0001437749-21-020980,success,../data/item1a/0000842023_2021.txt
